City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,xiaoweizhai,26.1903,107.5125,10.33,79,100,1.81,CN,1675926412
316,aras,42.5617,-2.356,-0.77,93,75,0.0,ES,1675926412
317,tiarei,-17.5333,-149.3333,27.01,71,3,2.56,PF,1675926413
318,broome,42.2506,-75.833,1.69,69,0,2.57,US,1675926413
319,leh,34.1667,77.5833,-7.5,62,100,1.0,IN,1675926414
320,saint-georges,12.0564,-61.7485,24.69,77,21,7.08,GD,1675926414
321,lunenburg,44.3835,-64.3155,0.03,60,65,6.88,CA,1675926415
322,mazagao,-0.115,-51.2894,25.03,99,100,1.16,BR,1675926415
323,la ligua,-32.4524,-71.2311,19.2,79,0,0.48,CL,1675926416
324,krutinka,56.0055,71.5113,-13.58,92,100,5.63,RU,1675926416
325,kirando,-7.4167,30.6,23.63,76,63,3.09,TZ,1675926416
326,garzon,2.1959,-75.6278,19.78,88,8,1.19,CO,1675926254
327,celestun,20.8667,-90.4,23.67,79,0,5.18,MX,1675926417
328,russell,32.3502,-85.1999,17.57,84,72,3.32,US,1675926418
329,vardo,70.3705,31.1107,0.99,80,75,9.26,NO,1675926418
330,provideniya,64.3833,-173.3,-27.88,96,75,1.32,RU,1675926418
331,mount isa,-20.7333,139.5,33.87,38,40,4.63,AU,1675926419
332,leningradskiy,69.3833,178.4167,-27.65,97,100,2.74,RU,1675926419
333,chase,50.8165,-119.6857,-2.18,96,100,1.61,CA,1675926420
334,khromtau,50.2503,58.4347,-13.27,92,100,8.05,KZ,1675926420
335,taiobeiras,-15.8078,-42.2331,15.6,87,21,1.55,BR,1675926421
336,san patricio,28.017,-97.5169,13.8,83,91,2.37,US,1675926421
337,malanje,-9.5402,16.341,20.61,74,36,1.04,AO,1675926422
338,rincon,32.296,-81.2354,16.59,88,0,0.0,US,1675926422
339,ewa beach,21.3156,-158.0072,23.97,58,0,11.18,US,1675926260
340,cedar city,37.6775,-113.0619,-1.46,74,40,6.17,US,1675926423
341,suntar,62.1444,117.6319,-29.06,92,94,1.46,RU,1675926423
342,batagay-alyta,67.8006,130.4114,-41.87,98,71,0.89,RU,1675926424
343,airai,-8.9266,125.4092,20.62,77,100,1.86,TL,1675926424
344,mugur-aksy,50.35,90.5,-10.87,79,100,2.3,RU,1675926425
345,lydenburg,-25.0978,30.4597,19.33,88,100,1.49,ZA,1675926425
346,mizan teferi,6.9833,35.5833,27.02,27,5,1.32,ET,1675926426
347,qom,34.6401,50.8764,8.03,29,25,8.13,IR,1675926427
348,quatre cocos,-20.2078,57.7625,28.38,72,32,6.43,MU,1675926427
349,yermolayevo,52.7167,55.8,-10.24,95,99,4.46,RU,1675926428
350,tukrah,32.5341,20.5791,11.43,67,44,18.22,LY,1675926428
351,bengkulu,-3.8004,102.2655,29.34,63,91,3.94,ID,1675926429
352,ardmore,34.1743,-97.1436,2.79,96,100,4.63,US,1675925758
353,riyadh,24.6877,46.7219,13.08,38,81,4.72,SA,1675926269
354,maloy,61.9353,5.1136,2.85,78,100,17.41,NO,1675926430
355,kostomuksha,64.571,30.5767,0.61,87,100,9.11,RU,1675926430
356,gore,-46.1028,168.9436,12.34,59,30,2.96,NZ,1675926430
357,bathsheba,13.2167,-59.5167,25.34,78,40,7.72,BB,1675926431
358,jalu,29.0331,21.5482,12.16,40,1,8.32,LY,1675926431
359,paamiut,61.994,-49.6678,-1.54,83,100,10.21,GL,1675926432
360,north bend,43.4065,-124.2243,7.14,95,0,3.6,US,1675926310
361,monrovia,6.3005,-10.7969,22.87,86,6,1.27,LR,1675926433
362,sao jose da coroa grande,-8.8978,-35.1478,25.0,83,100,1.64,BR,1675926434
